ResponseID,DistrictCode,A1_Practice,A1_Importance,A2_Practice,A2_Importance,A3_Practice,A3_Importance,A4_Practice,A4_Importance,A5_Practice,A5_Importance,A6_Practice,A6_Importance,A7_Practice,A7_Importance,A8_Practice,A8_Importance,A9_Practice,A9_Importance,A10_Practice,A10_Importance,B1_Practice,B1_Importance,B2_Practice,B2_Importance,B3_Practice,B3_Importance,B4_Practice,B4_Importance,B5_Practice,B5_Importance,B6_Practice,B6_Importance,B7_Practice,B7_Importance,C1_Practice,C1_Importance,C2_Practice,C2_Importance,C3_Practice,C3_Importance,C4_Practice,C4_Importance,C5_Practice,C5_Importance,C6_Practice,C6_Importance,C7_Practice,C7_Importance,D1_Practice,D1_Importance,D2_Practice,D2_Importance,D3_Practice,D3_Importance,D4_Practice,D4_Importance,D5_Practice,D5_Importance,D6_Practice,D6_Importance,D7_Practice,D7_Importance
R_00100,D013,4,3,6,3,5,6,6,4,4,5,3,6,5,3,3,5,6,5,5,6,6,4,6,4,3,5,4,5,4,5,4,4,3,3,6,4,4,5,4,4,6,4,4,5,6,6,6,4,5,5,3,6,5,5,5,6,5,5,4,5,4,6
R_00101,D006,3,5,5,4,6,4,6,4,3,5,4,3,5,6,5,5,5,4,3,5,5,6,4,4,5,5,5,5,5,5,4,4,5,5,5,4,3,3,5,5,5,3,4,5,4,3,3,4,6,5,5,5,5,5,4,4,5,4,5,5,5,3
R_00102,D006,5,5,5,3,5,5,4,4,5,5,3,4,3,3,3,3,2,3,5,3,4,3,5,4,4,3,4,3,5,5,3,4,3,5,4,5,3,4,3,3,3,3,3,4,5,3,4,4,2,3,3,4,4,4,4,4,3,2,2,3,3,5
R_00103,D015,6,5,5,3,4,5,4,4,4,6,5,5,4,4,6,6,3,4,5,3,3,3,3,6,5,5,6,4,6,5,5,4,4,6,4,6,5,3,5,5,5,3,3,4,3,4,5,4,6,6,3,4,5,4,4,5,6,3,3,6,3,3
R_00104,D007,5,4,4,5,4,4,4,3,5,4,5,2,4,4,3,4,5,5,3,3,5,4,4,5,4,2,5,4,5,3,4,4,5,4,3,2,4,3,2,2,5,3,3,3,5,5,3,5,3,5,3,5,4,3,4,4,5,3,4,3,4,5
R_00105,D007,5,4,4,4,5,5,4,4,4,3,4,4,3,5,3,4,4,4,3,4,5,4,3,3,5,5,4,3,3,3,3,3,4,3,4,4,3,3,3,4,3,4,3,3,4,3,5,3,4,4,5,4,3,5,5,3,3,5,4,5,3,4
R_00106,D001,3,4,4,5,5,4,4,4,5,3,4,4,3,3,2,2,2,2,5,5,3,4,4,3,4,4,3,3,4,4,2,3,3,4,5,4,5,4,3,4,5,2,2,4,4,5,5,4,4,4,3,4,4,4,4,4,5,4,4,4,3,3
R_00107,D001,4,4,4,6,4,5,3,4,3,4,4,4,6,4,5,5,5,3,4,5,6,5,5,5,5,5,5,5,4,5,5,3,3,5,3,4,6,4,4,3,3,6,4,3,5,6,3,3,4,5,3,4,4,4,4,3,6,4,3,5,4,5
R_00108,D011,4,4,5,3,3,5,5,6,5,3,3,5,6,6,3,4,4,4,5,3,5,4,3,5,4,4,5,4,5,4,4,3,4,5,4,5,3,5,4,4,5,4,4,4,5,5,4,3,3,3,5,6,3,4,6,3,3,5,5,5,6,3
R_00109,D009,5,4,4,4,5,4,4,5,5,3,4,4,5,5,4,3,4,5,5,5,5,5,4,3,4,3,4,5,5,3,6,4,3,4,4,5,3,3,5,4,3,5,5,6,3,3,4,5,4,3,5,3,4,5,4,6,5,6,4,5,5,4
R_00110,D008,3,5,4,4,4,4,3,3,4,5,3,3,4,5,3,3,5,4,4,3,4,4,4,4,3,4,4,4,5,4,5,5,3,3,4,3,4,5,3,3,4,5,5,3,5,4,4,3,4,2,3,3,5,3,4,5,3,4,2,5,5,3
R_00111,D012,3,4,5,4,4,4,5,5,4,5,4,5,4,4,4,4,5,3,5,4,4,3,4,4,5,5,5,4,5,5,4,5,5,4,3,4,3,4,4,3,4,3,4,5,3,5,3,3,5,3,5,5,4,5,4,4,3,5,3,4,4,5
R_00112,D005,3,3,3,3,3,3,3,3,3,4,3,2,2,3,3,3,3,3,5,3,3,5,4,4,5,3,3,2,4,3,4,3,3,5,3,5,4,3,4,5,3,3,3,4,3,5,3,5,5,4,4,5,4,2,4,5,3,5,2,5,4,4
R_00113,D013,3,4,4,4,3,5,4,3,4,3,3,4,3,4,4,5,3,4,3,3,5,4,3,5,3,4,4,2,4,4,2,4,5,4,4,5,4,5,4,5,4,3,2,5,4,4,3,5,5,3,3,5,4,2,4,5,4,3,2,3,5,3
R_00114,D001,4,5,3,4,4,3,5,5,3,3,5,4,5,4,4,4,5,4,5,4,3,3,3,3,4,3,4,5,3,5,6,5,4,3,4,4,5,5,5,3,5,4,6,3,5,4,4,5,5,3,3,4,4,3,3,3,4,3,5,6,4,3
R_00115,D005,3,4,2,4,5,4,4,3,3,2,3,3,2,3,5,5,4,4,4,4,4,2,2,2,3,5,2,3,5,3,3,4,2,4,4,3,3,2,4,3,4,4,2,3,5,5,4,3,5,5,4,3,3,2,4,2,5,3,4,4,3,3
R_00116,D011,3,5,3,3,4,5,5,3,5,5,3,3,3,4,2,4,4,3,4,5,5,4,3,3,5,5,3,4,5,5,4,3,4,5,4,4,3,4,5,3,3,2,3,3,4,3,5,5,3,5,3,3,5,4,3,3,3,3,3,4,5,3
R_00117,D001,3,5,4,3,4,3,2,5,5,2,4,3,5,3,5,3,3,5,4,5,5,5,5,5,2,3,5,5,3,3,3,4,5,3,2,4,3,4,5,3,2,5,5,5,5,5,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4
R_00118,D005,5,4,3,3,3,5,4,3,5,4,5,4,4,3,3,4,3,4,4,4,4,4,4,5,3,4,3,3,4,3,3,5,4,4,5,5,3,3,3,3,3,3,3,5,4,3,5,5,5,5,5,5,2,3,5,5,4,4,4,4,4,4
R_00119,D012,3,3,4,4,4,5,4,4,4,5,3,3,4,4,3,3,4,3,4,3,5,2,5,5,3,3,4,3,4,4,3,2,5,5,3,5,3,4,4,4,5,5,3,3,4,3,2,4,4,5,2,2,4,2,4,4,3,2,5,3,3,4
R_00120,D001,4,3,5,3,3,2,4,3,2,5,5,2,3,3,4,3,4,5,4,4,4,3,2,2,2,3,4,4,5,5,3,4,4,3,5,3,4,4,3,4,4,3,3,5,4,3,5,3,4,3,5,3,5,3,4,3,5,4,4,3,4,5
R_00121,D007,3,3,5,4,4,4,5,4,3,5,5,4,5,6,4,3,3,6,4,5,4,3,5,4,6,3,5,6,4,3,3,4,5,4,3,5,5,3,4,4,3,5,4,5,6,5,5,5,6,4,4,3,3,5,5,6,4,4,3,4,6,4
R_00122,D004,3,5,5,5,3,3,4,3,4,4,3,3,4,5,3,3,4,3,4,4,4,4,3,5,5,4,3,3,4,4,6,3,4,6,5,3,6,4,6,5,5,6,5,4,5,5,4,5,4,4,4,4,4,5,3,4,6,3,5,5,4,5
R_00123,D012,3,4,4,3,3,3,5,4,5,5,4,3,5,5,4,6,5,3,3,5,4,3,4,5,5,3,5,5,4,4,4,4,3,5,3,3,5,3,3,3,4,5,5,3,3,5,4,5,3,3,3,3,4,5,3,5,3,6,4,3,4,4
R_00124,D011,5,5,3,4,5,5,6,5,3,5,4,4,4,4,5,3,3,4,3,3,3,4,5,4,6,6,6,4,4,5,5,4,3,6,4,4,3,4,4,5,5,4,4,5,5,5,6,5,3,3,5,5,5,5,5,4,4,5,4,5,6,5
R_00125,D001,5,6,4,5,5,4,3,4,5,4,4,6,5,4,4,4,5,5,3,5,5,4,3,5,6,4,4,6,5,3,3,5,4,5,5,3,4,5,3,3,6,4,5,3,3,3,5,4,5,4,5,5,5,3,4,4,4,4,5,4,5,3
R_00126,D001,3,4,6,3,4,3,5,6,5,6,4,4,4,4,5,6,5,6,5,4,3,4,4,3,4,5,5,5,3,5,5,4,5,5,4,5,5,4,4,3,6,6,5,3,4,3,5,4,4,5,4,5,3,4,6,6,6,5,5,5,4,3
R_00127,D003,4,5,4,3,5,3,5,4,5,3,4,3,5,3,3,5,4,3,4,5,3,5,5,5,3,3,4,5,3,3,4,5,3,5,5,5,5,4,4,4,5,5,4,4,4,5,5,3,3,3,3,5,5,5,3,4,5,5,4,3,3,4
R_00128,D013,4,4,5,5,5,5,4,4,5,4,3,6,5,4,4,5,3,5,5,5,5,4,6,3,6,5,4,5,4,5,4,6,4,5,4,5,5,5,3,6,4,4,4,6,5,6,6,5,4,5,6,5,4,5,4,5,4,6,4,3,5,5
R_00129,D012,5,4,3,3,5,4,3,4,5,5,3,5,5,5,6,3,6,4,5,6,3,6,3,3,6,5,5,6,5,4,3,4,4,5,6,5,4,5,5,5,5,5,5,4,5,4,3,3,4,5,4,3,5,5,4,5,5,3,4,5,4,5
R_00130,D001,5,4,3,5,2,4,4,5,4,4,4,4,4,2,4,5,5,3,4,3,4,4,2,2,3,3,4,5,2,5,4,3,4,3,5,2,3,5,4,4,4,3,4,4,4,5,3,4,3,2,5,3,3,3,5,5,4,3,3,2,4,2
R_00131,D005,5,4,3,3,4,4,4,3,5,5,4,3,3,4,5,4,4,3,5,4,2,4,3,3,3,4,3,4,3,3,3,5,3,2,4,5,4,3,5,3,5,3,5,4,4,4,5,4,4,5,3,5,4,3,5,5,4,4,5,4,3,2
R_00132,D007,3,3,4,2,4,5,4,3,4,4,3,5,5,4,3,3,5,5,5,3,5,5,3,3,2,2,4,5,3,2,4,4,4,5,5,3,4,4,4,4,5,5,4,3,4,5,4,4,4,4,3,4,5,5,5,4,4,4,5,4,5,4
R_00133,D005,5,4,5,3,3,3,2,5,3,4,4,2,3,3,3,4,4,3,3,5,4,5,2,3,4,4,3,4,3,3,2,5,3,3,2,4,2,4,3,2,4,3,4,3,3,3,3,3,5,2,3,5,3,3,3,3,5,3,3,2,3,4
R_00134,D015,3,4,4,3,3,4,5,4,3,4,5,4,5,5,3,2,2,2,3,4,4,3,4,3,5,4,3,3,4,4,3,3,4,3,4,5,5,3,5,3,4,5,4,4,3,5,4,4,3,3,2,5,5,3,4,2,2,3,3,4,3,3
R_00135,D007,4,3,3,3,4,4,3,3,3,3,5,3,4,5,3,3,5,4,3,3,3,4,5,4,5,4,5,4,4,4,3,4,5,3,5,3,4,5,4,3,5,5,3,4,4,5,5,3,5,3,3,4,3,5,5,5,5,5,4,5,5,3
R_00136,D006,4,3,5,5,3,3,5,5,5,5,4,5,6,6,3,5,4,5,4,4,3,3,4,5,6,5,4,5,5,4,4,5,5,3,3,4,3,3,6,6,4,5,5,4,5,5,3,4,5,4,3,5,5,5,4,5,4,3,5,5,4,6
R_00137,D004,5,6,5,5,3,5,4,5,6,5,5,5,4,4,5,5,5,3,4,5,4,6,3,4,4,6,4,4,5,5,3,3,4,4,5,3,3,4,6,6,3,5,5,5,5,4,3,5,5,5,3,4,3,3,5,3,6,6,3,5,4,5
R_00138,D004,4,4,3,3,3,3,5,4,3,5,3,3,4,5,3,5,3,4,3,4,3,5,4,5,5,3,3,3,3,5,4,4,3,5,5,5,4,3,4,4,5,3,4,3,5,4,3,5,4,5,5,5,3,2,5,3,4,3,4,5,5,4
R_00139,D001,5,3,3,6,3,4,4,4,5,4,5,4,5,5,3,4,4,4,4,5,4,4,4,4,5,5,5,3,3,6,3,4,5,5,3,4,5,5,5,3,3,5,5,5,3,5,3,3,5,5,4,3,5,4,5,5,3,5,5,3,4,3
R_00140,D001,5,3,3,5,5,5,3,4,4,5,5,3,3,5,3,5,4,3,5,5,5,4,5,5,4,5,4,3,5,4,6,3,3,4,3,3,5,4,5,5,4,4,4,5,3,5,5,3,3,3,4,5,3,3,4,3,4,5,3,4,4,3
R_00141,D005,5,5,5,3,4,6,3,4,4,4,4,5,5,6,5,3,4,5,3,5,3,5,4,5,6,4,3,4,6,3,5,6,5,5,5,3,6,5,5,5,6,4,5,4,4,6,4,6,5,4,4,5,3,3,5,4,5,3,6,5,6,5
R_00142,D001,3,5,3,3,3,2,3,4,3,4,3,5,4,3,2,4,2,5,3,5,5,2,3,5,5,3,4,4,3,5,4,4,4,4,3,5,2,5,3,3,3,2,3,3,2,3,4,5,3,2,4,5,5,4,3,3,3,5,4,4,4,3
R_00143,D001,4,4,3,2,4,3,5,3,3,4,2,5,5,4,3,4,2,2,3,3,4,5,4,4,3,5,2,5,3,4,3,3,3,4,4,3,4,3,4,3,2,5,4,2,4,4,3,5,5,4,4,3,3,4,3,5,2,5,3,4,2,4
R_00144,D012,3,5,2,3,5,3,4,3,3,3,5,5,4,2,5,2,5,4,5,4,4,3,3,3,4,4,4,2,3,3,3,4,4,3,5,4,3,3,4,5,5,5,5,2,4,4,3,4,4,5,2,3,4,2,3,3,3,3,3,3,4,2
R_00145,D015,4,5,5,5,3,4,4,4,6,4,5,5,4,4,6,4,3,3,4,5,5,5,4,6,6,4,6,3,5,5,5,5,3,5,6,3,6,4,4,3,5,4,5,5,5,5,4,5,6,4,3,4,5,5,3,5,6,3,4,5,3,4
R_00146,D009,3,5,3,4,3,5,5,5,4,3,5,4,4,4,3,4,4,3,3,5,3,4,3,5,4,4,2,3,5,3,4,3,3,5,5,3,2,3,4,4,2,5,5,4,4,4,3,5,5,3,2,2,4,3,5,3,3,3,3,5,5,3
R_00147,D007,4,5,4,5,4,4,4,4,3,5,6,4,4,5,5,4,5,6,4,6,4,5,5,5,5,4,5,4,5,3,3,3,4,5,4,5,5,6,4,3,3,4,5,4,3,5,4,5,3,4,3,4,4,5,6,5,4,5,5,3,4,5
R_00148,D014,3,6,4,5,4,4,3,5,4,6,4,3,3,4,4,5,4,5,5,6,6,4,5,4,6,6,3,5,3,3,5,5,4,5,4,5,4,5,4,5,4,5,6,3,4,5,3,3,3,3,4,5,4,3,3,6,4,6,6,6,5,4
R_00149,D012,5,2,3,4,5,3,3,3,3,2,5,4,5,5,3,3,2,4,4,4,5,3,4,3,3,3,2,4,5,4,4,3,2,5,2,2,3,5,3,2,3,4,4,5,4,3,3,3,4,5,3,3,5,5,4,4,3,3,3,3,5,4
R_00150,D003,5,4,6,3,3,5,4,4,6,3,4,3,4,4,3,4,3,5,5,4,4,4,5,4,4,4,5,5,6,4,3,3,4,3,3,4,5,5,4,3,5,6,4,3,5,4,4,5,5,3,4,5,4,4,6,4,4,3,3,6,3,3
R_00151,D007,3,3,3,4,5,4,5,4,4,3,3,5,4,5,5,4,3,3,3,3,5,4,5,5,3,4,3,2,3,4,5,5,5,5,4,3,4,5,2,5,5,4,3,4,3,5,5,3,5,3,5,4,5,5,4,5,4,5,4,3,4,5
R_00152,D006,5,3,3,4,3,4,4,4,5,5,3,5,4,4,4,3,5,4,4,3,3,5,2,3,3,4,3,3,4,4,2,3,3,3,5,4,5,3,3,3,5,3,4,3,3,4,3,5,4,4,5,3,3,3,3,4,4,3,4,4,3,3
R_00153,D007,3,4,4,4,3,5,4,3,4,3,5,4,4,4,4,4,2,4,5,4,5,4,3,3,4,3,4,4,3,5,3,4,2,5,5,4,2,2,5,4,3,3,3,4,3,2,5,4,5,2,3,3,5,4,3,4,5,3,3,5,2,4
R_00154,D010,2,4,2,2,3,4,5,3,2,2,3,5,5,5,4,5,4,5,4,3,4,3,5,4,3,4,4,4,3,4,5,4,4,3,4,2,3,3,2,3,4,2,3,4,5,4,2,5,5,4,4,3,5,3,5,4,3,4,3,2,4,3
R_00155,D011,4,5,3,5,3,4,5,4,3,4,4,4,5,5,4,3,3,5,3,4,4,2,5,3,3,3,5,4,5,5,5,5,3,5,3,5,5,4,3,4,3,5,3,5,4,5,5,3,4,3,5,4,3,3,4,3,3,3,5,5,3,4
R_00156,D009,3,5,5,4,4,4,3,3,5,5,5,4,5,4,4,4,5,4,3,3,4,4,3,3,5,4,3,3,4,4,3,5,5,3,5,3,5,6,3,4,5,5,4,4,3,5,3,4,5,3,3,4,3,4,5,3,4,5,5,5,5,3
R_00157,D001,6,5,5,3,6,6,5,5,3,5,6,4,3,3,4,5,4,4,5,6,3,3,5,5,5,6,5,5,5,3,5,5,4,4,3,4,6,6,4,4,4,3,4,5,4,5,6,5,5,6,3,5,5,3,3,3,3,4,5,4,4,5
R_00158,D007,2,3,4,4,4,3,5,3,4,5,4,3,4,4,3,4,4,2,5,4,4,3,3,3,5,3,4,3,3,5,3,5,4,4,3,2,4,2,3,3,5,2,3,4,4,5,3,2,3,3,3,2,3,4,3,2,4,5,5,5,5,4
R_00159,D012,5,4,4,5,5,3,3,4,5,4,5,5,4,4,4,4,3,3,5,5,3,2,5,5,3,3,4,3,4,4,3,4,5,5,4,3,4,3,3,3,4,4,4,5,4,5,3,3,5,3,4,3,3,3,5,3,5,3,4,3,4,2
R_00160,D002,4,5,4,2,4,2,4,3,3,4,5,3,4,4,3,2,3,4,3,3,3,5,3,4,5,2,3,4,3,3,4,3,5,4,3,2,5,5,2,4,4,4,4,4,4,3,3,5,2,4,3,5,2,2,5,3,4,4,4,3,4,5
R_00161,D007,3,4,3,3,5,3,3,3,4,3,3,4,2,3,4,5,3,3,4,5,4,4,3,3,4,5,2,4,4,3,4,2,3,3,3,2,3,5,4,4,4,5,5,2,2,3,4,5,4,2,2,3,4,5,2,5,5,5,3,3,4,4
R_00162,D002,6,5,5,6,3,5,4,4,4,4,5,4,4,3,3,5,6,6,3,6,5,4,5,4,4,4,5,6,3,4,4,5,6,5,5,4,4,4,3,3,5,5,6,4,4,5,5,3,4,3,4,4,6,4,6,6,5,6,5,3,4,5
R_00163,D012,5,5,4,4,2,5,2,3,5,4,4,4,5,3,2,4,5,3,3,3,5,5,4,2,3,2,4,4,3,4,3,4,4,4,4,3,5,3,5,4,3,5,4,5,2,4,2,2,3,5,4,3,2,4,4,3,3,5,5,5,4,2
R_00164,D001,3,3,4,3,4,4,4,4,5,3,3,3,3,4,5,4,4,4,3,3,5,5,3,5,4,5,3,4,4,3,5,5,5,4,5,4,4,3,3,4,5,5,3,5,3,4,4,4,4,5,3,5,4,5,3,4,4,3,3,4,5,4
R_00165,D005,3,5,5,3,5,5,5,4,5,4,4,3,3,4,5,3,5,5,4,3,5,5,3,3,5,3,4,4,3,4,3,5,3,3,3,5,5,3,5,3,3,3,5,5,4,3,5,4,3,5,5,3,4,4,4,4,3,3,3,3,5,4
R_00166,D005,5,4,4,5,4,3,2,4,3,3,4,2,3,5,3,3,3,4,4,3,5,5,2,3,5,4,3,3,4,4,4,4,3,4,3,3,3,3,3,4,3,2,4,4,4,4,3,4,3,4,4,5,5,2,2,4,3,4,3,4,3,3
R_00167,D015,3,3,4,4,4,4,3,3,3,3,5,4,4,4,3,4,2,4,3,4,4,4,3,3,5,5,4,5,2,4,5,2,3,2,2,5,3,3,4,4,3,2,3,3,3,4,3,4,5,3,5,5,4,3,4,3,3,4,4,2,2,4
R_00168,D005,3,5,4,5,3,5,4,3,5,5,4,4,3,5,5,3,5,3,3,5,3,5,2,4,4,4,3,4,3,4,3,3,4,3,4,4,5,5,5,5,5,4,5,4,4,5,4,4,4,3,2,3,4,4,4,3,4,5,5,3,3,5
R_00169,D001,4,2,3,3,4,3,5,4,3,3,4,3,5,3,4,5,5,5,5,5,4,4,4,5,5,5,3,3,5,3,5,5,3,4,5,3,4,3,3,4,5,3,4,2,5,5,3,5,5,4,5,4,5,4,5,4,3,5,4,5,3,4
R_00170,D005,4,3,4,5,2,3,3,3,4,4,4,4,3,2,4,3,4,5,4,5,3,3,2,4,3,5,4,5,3,4,3,2,4,3,3,3,3,3,5,3,3,4,3,4,4,3,4,4,4,5,2,5,3,4,3,4,3,5,5,3,4,4
R_00171,D012,3,5,4,4,3,3,5,3,3,5,4,4,5,3,5,5,5,3,4,4,5,3,6,4,4,3,3,5,4,5,4,4,5,4,4,4,5,4,6,5,5,5,4,4,5,6,4,3,4,6,5,6,6,3,6,5,3,4,6,6,4,5
R_00172,D012,3,2,3,5,3,3,3,3,3,3,5,5,4,4,3,4,5,5,5,4,5,5,5,3,3,5,3,5,5,5,5,4,4,3,4,5,4,3,4,5,4,3,5,4,5,5,4,3,3,3,4,3,4,4,3,4,5,3,5,4,3,5
R_00173,D013,3,5,3,5,5,3,3,4,4,4,4,5,4,5,3,3,4,4,5,4,4,4,3,4,4,5,5,4,4,4,3,3,5,4,3,5,5,4,3,3,3,4,4,5,5,3,3,3,5,4,3,4,3,3,4,4,4,3,5,3,3,3
R_00174,D011,4,3,6,5,3,5,5,5,4,4,3,4,3,6,5,5,4,6,3,5,5,4,3,5,3,5,5,5,4,3,3,3,4,4,5,3,5,4,4,5,4,5,5,3,5,4,5,5,3,4,3,4,3,3,4,6,4,3,3,4,3,3
R_00175,D011,5,5,4,4,6,3,4,4,4,4,5,3,5,5,4,3,5,6,5,5,4,3,6,4,4,4,5,3,5,3,4,4,6,3,6,4,4,4,6,3,5,5,3,3,6,5,3,3,5,5,4,4,5,4,5,4,4,3,5,6,5,4
R_00176,D007,5,4,4,5,4,5,3,3,4,3,4,3,5,4,4,5,4,4,4,3,4,5,4,5,5,3,3,4,4,3,4,5,5,4,4,5,5,3,3,5,3,5,5,3,3,5,3,4,3,4,5,5,5,4,3,4,3,5,3,4,5,2
R_00177,D001,5,6,5,3,4,3,5,3,5,5,4,3,4,5,4,4,5,5,4,5,4,5,4,3,3,3,5,5,3,3,4,4,5,5,3,3,5,3,5,4,3,3,4,4,5,5,4,4,5,3,4,3,4,4,4,6,3,5,4,4,4,5
R_00178,D010,3,3,4,2,3,3,4,3,4,4,5,3,4,3,3,3,5,3,3,5,4,3,4,3,5,2,5,3,3,3,3,4,5,4,3,4,5,5,5,5,4,4,3,3,4,3,2,3,2,4,4,4,5,5,2,4,3,3,4,4,4,3
R_00179,D010,3,4,4,3,3,5,3,5,4,3,3,4,4,4,4,5,3,4,3,3,3,3,4,3,4,4,4,5,3,5,5,3,5,4,4,2,5,4,4,3,4,4,5,3,5,3,3,4,3,4,5,5,4,3,5,4,3,3,4,3,5,4
R_00180,D009,3,5,5,3,4,3,4,3,3,4,4,3,3,5,5,5,4,3,5,5,4,5,5,3,5,4,5,3,3,4,4,5,4,4,4,4,5,4,5,4,5,5,5,3,5,3,5,3,4,4,5,4,4,3,3,4,5,3,3,4,4,5
R_00181,D007,3,5,5,6,4,4,5,4,3,5,4,4,6,3,3,5,4,5,4,3,3,4,4,3,4,5,5,4,5,4,3,5,3,5,5,4,6,6,4,6,4,4,4,4,5,5,4,5,3,3,4,4,4,3,5,6,5,3,4,3,4,5
R_00182,D012,4,4,5,4,5,5,4,5,5,3,5,4,5,5,5,4,3,4,5,5,4,3,4,4,4,5,5,4,3,4,3,5,3,3,4,3,3,5,3,4,4,5,4,4,5,5,3,5,3,3,3,4,5,5,4,5,3,3,3,3,3,4
R_00183,D005,4,4,3,6,4,5,4,4,5,5,4,4,4,4,4,5,3,3,6,5,3,5,3,4,5,5,4,4,6,5,4,4,3,4,3,5,4,6,4,6,5,4,5,4,6,3,5,4,4,6,4,5,4,3,4,5,3,3,5,5,3,5
R_00184,D014,4,4,3,3,5,6,5,5,3,5,3,3,4,4,5,5,3,4,5,4,5,3,5,5,3,4,4,4,3,3,5,3,6,3,4,6,5,4,3,4,5,4,4,5,3,5,4,5,5,4,5,5,3,3,3,5,3,3,3,4,5,3
R_00185,D005,4,3,5,4,4,4,5,4,3,3,4,4,5,2,5,3,2,3,3,3,2,5,3,3,4,4,3,4,5,4,4,3,4,4,3,3,4,5,3,5,3,5,4,4,4,4,3,4,2,3,4,5,3,3,4,3,4,3,5,3,3,5
R_00186,D001,4,4,6,6,3,5,4,3,5,4,5,3,5,4,5,4,4,6,4,4,3,3,5,5,5,5,3,6,5,5,4,6,6,4,6,6,6,4,3,6,3,4,5,4,6,5,6,3,4,3,5,5,5,6,4,5,5,4,3,5,3,6
R_00187,D005,3,5,6,3,4,5,5,3,3,4,3,5,4,5,4,3,5,4,3,6,6,4,4,6,4,6,3,4,5,6,5,5,5,4,3,6,5,5,4,6,5,5,6,4,5,5,4,5,4,4,4,4,5,6,3,3,5,4,4,5,5,3
R_00188,D012,4,5,4,4,5,4,5,4,5,6,4,3,5,4,5,5,4,4,5,4,5,5,4,4,6,5,5,5,5,3,4,3,6,3,5,5,5,5,3,5,4,6,3,4,3,4,6,3,5,3,5,4,4,4,4,5,5,5,4,5,5,5
R_00189,D005,3,5,5,4,4,3,4,4,5,4,5,6,5,6,4,3,5,6,5,5,5,4,4,5,3,3,5,5,4,4,5,4,4,6,3,6,5,5,4,5,3,6,4,3,4,5,4,4,5,6,4,4,5,3,3,4,3,5,5,4,4,5
R_00190,D006,5,5,6,6,5,5,6,5,4,4,6,6,4,4,6,3,5,6,4,4,3,6,5,4,4,4,5,5,5,5,5,5,6,4,5,3,5,4,4,6,3,5,5,3,4,5,3,5,3,5,5,6,5,5,4,5,6,6,3,4,4,5
R_00191,D005,5,5,3,4,5,4,3,4,5,4,3,6,4,4,5,5,3,4,5,3,3,5,4,3,3,5,4,5,4,4,5,3,4,3,4,5,5,4,3,4,3,6,4,4,5,4,3,4,6,3,4,3,5,4,3,4,3,5,4,5,5,3
R_00192,D009,3,3,5,5,4,4,5,4,5,3,3,5,2,2,4,5,5,5,3,3,3,3,4,5,4,4,5,5,5,5,4,3,4,3,4,3,3,3,5,3,3,3,5,5,5,5,4,5,2,4,4,3,4,4,4,3,4,3,3,4,3,5
R_00193,D006,3,3,3,4,4,3,5,5,5,5,4,3,5,3,4,5,4,4,5,4,3,3,3,5,3,5,5,5,4,3,4,5,5,3,5,5,5,3,3,3,4,2,5,3,5,5,2,3,5,5,5,5,5,4,5,3,3,3,4,5,4,4
R_00194,D014,3,5,5,3,5,4,4,3,5,5,4,4,5,4,5,4,5,3,5,3,5,4,3,4,5,3,5,5,4,4,3,4,3,3,5,5,5,4,4,3,6,4,3,3,5,3,5,5,3,4,4,3,4,3,5,5,3,3,4,4,5,4
R_00195,D015,4,4,5,4,3,4,3,3,4,5,4,6,3,4,5,5,3,6,3,5,4,5,5,3,6,4,3,3,4,4,5,5,5,3,4,5,5,3,5,6,6,5,4,5,4,5,5,5,4,6,4,6,3,5,4,3,5,3,6,6,6,4
R_00196,D001,3,4,5,4,3,4,5,4,6,4,4,5,4,4,4,4,4,5,3,3,3,3,5,5,5,6,4,5,4,5,3,3,3,5,4,5,5,5,3,3,4,3,4,4,3,4,5,4,5,4,5,4,3,4,5,3,4,4,5,3,6,4
R_00197,D015,5,5,5,5,3,3,5,3,5,4,5,3,3,3,5,4,5,4,5,4,5,3,3,4,5,3,4,4,4,3,4,4,6,5,5,6,5,3,4,5,3,4,4,3,3,5,5,5,4,3,5,6,5,4,5,6,5,3,3,4,4,3
R_00198,D015,5,6,4,5,6,3,5,5,3,5,4,3,5,3,4,4,6,4,6,3,4,4,4,4,3,5,5,4,3,4,3,6,5,5,3,4,6,4,3,5,5,4,5,5,5,4,4,6,5,4,4,4,6,6,3,5,4,4,3,5,5,3
R_00199,D001,3,5,5,5,2,2,5,5,4,3,4,5,4,5,5,3,3,4,3,5,3,3,5,2,5,3,3,3,3,4,4,3,5,4,3,3,4,5,3,3,2,3,3,3,4,5,4,4,3,3,3,5,3,4,4,4,4,3,4,5,5,4
R_00200,D009,4,5,3,3,4,5,5,5,3,5,5,3,5,3,5,6,4,5,5,3,4,5,4,5,4,4,5,4,6,4,5,3,4,4,4,6,6,6,4,6,4,3,5,4,3,3,4,6,5,4,3,5,5,3,5,4,3,4,3,4,3,4
R_00201,D005,5,4,4,5,4,6,3,6,3,6,3,4,4,4,4,6,5,4,3,4,3,5,5,4,3,3,4,5,5,6,4,6,3,4,4,4,4,4,6,4,6,6,5,5,5,4,4,3,4,5,6,4,5,4,5,4,4,3,4,3,5,5
